surface_m2,n_chambres,n_sdb,annee_construction,quartier,prix_vente
119.6966082590149,5,4,2020,A,400254.54
70.75954989318035,2,1,2014,C,199544.56
123.61253811227357,2,2,2000,D,254402.56
134.75786737022213,4,3,1956,C,350700.3
75.37953044944868,1,1,1957,A,212864.7
128.90128387732966,4,1,1950,E,243934.25
112.38342780809495,5,3,1981,A,343156.0
124.6618047998347,3,1,1994,C,269475.37
156.9037894796184,3,3,1957,D,265290.43
92.63835651991388,4,3,2012,D,218912.43
77.38791506927531,1,1,2018,C,227108.55
73.3145671112343,3,1,1996,D,168540.76
75.52569145103685,4,2,1986,B,254889.2
97.68694871757687,3,4,2012,E,213009.36
110.23455924449931,1,2,2008,C,222294.58
108.30072397990057,4,3,2021,E,245569.57
124.81549747108072,2,1,1951,C,236060.1
100.39005675633722,4,1,1981,E,243496.21
143.6060223147195,1,1,2016,A,349648.14
92.06029500286132,4,1,1971,C,226869.57
181.60507499768858,2,1,1950,D,322732.71
118.77002043295019,4,2,1991,E,229234.65
74.28527330751152,2,3,2021,A,241974.57
67.87322505816664,7,4,1957,A,325013.46
114.47417245729557,3,3,1966,A,343041.98
93.29611644022447,2,2,1997,D,230586.9
121.42001482276277,2,4,1965,A,355956.61
114.19712873720634,3,1,1969,E,228160.12
97.81513262029382,2,1,1979,D,175014.27
74.59618845794785,1,2,1982,C,173201.41
54.554583259424064,1,3,1995,D,142891.12
86.60455143798937,4,3,1985,C,190046.32
125.69196382970418,3,1,2021,C,270089.65
106.42281232390611,2,2,1989,C,247104.95
62.62783663864036,1,2,1976,C,181367.03
105.19542777553546,3,3,1994,D,203905.83
111.5595213918651,8,1,1973,B,319063.13
73.48427691396601,3,1,1980,B,212882.21
104.61175317836583,5,3,1968,A,375428.24
101.74626155338,7,3,2005,E,278048.32
65.71089106508131,4,3,2014,E,169347.26
110.7336208104485,4,2,1951,E,246839.29
116.82353579104704,1,3,1988,A,289531.4
132.4915372952583,2,2,1961,E,213090.62
131.6140615610471,3,1,1979,D,243253.71
58.669918961287266,4,2,1989,B,212674.73
71.86524880254632,2,1,1962,C,187047.12
115.4510580162598,2,1,1967,E,244209.28
115.41357852736627,1,5,2021,A,299045.2
115.45143058918144,2,1,1961,A,326207.73
215.58194471964163,2,2,2003,D,403494.68
117.12671532079501,2,2,2003,C,292137.03
134.06696920541796,4,1,1993,C,332644.99
128.62005290479607,2,1,2015,A,315425.15
119.54173753917394,4,3,2002,E,268437.53
90.54192266078964,3,2,2013,D,237088.1
122.76907661479802,1,2,2009,D,239995.34
76.81524356387285,3,1,2000,C,199988.21
92.89544179779973,6,2,1950,D,211359.69
85.4390935651269,4,2,1970,B,302521.65
102.45622418158968,2,1,2004,C,210036.5
169.43975700020525,6,2,1952,A,483803.1
43.98204422224756,3,1,2012,D,123901.49
120.5878057112354,2,3,2012,C,296002.94
51.61852386431045,5,2,1978,E,148043.97
85.842044026317,4,1,1966,E,195003.88
132.66851790902098,2,2,2007,B,324976.61
101.92840057286388,4,1,1953,A,312370.09
67.66765666212082,2,4,2011,E,143363.76
78.54088872220095,1,2,2006,C,176210.45
120.38793246804028,3,2,2015,D,238452.78
78.0890010484859,2,3,1954,E,191778.85
106.49375768745925,3,5,1967,E,259902.69
101.36715519711441,5,1,1992,B,269668.37
80.4519895718255,3,2,1990,D,188947.43
164.31832267975977,2,2,1958,D,255947.74
119.01757066954033,1,1,2017,E,201065.04
39.24572240027179,2,1,2016,D,143826.13
105.59362944308283,2,4,1970,A,320491.99
80.14640605694836,5,1,1988,A,254170.23
125.57300004388672,1,2,1995,E,230197.07
76.22437784701899,1,5,2014,E,160193.41
96.55790675599303,2,1,1965,A,251880.62
115.14961836941372,2,1,1977,D,255427.28
125.97265582510364,3,1,1983,B,304948.98
63.991107788326715,1,3,1972,B,196536.82
89.96496292477156,2,2,1965,B,254027.17
85.75164066517132,1,4,1990,D,209940.31
80.40012302278865,1,1,1984,B,214728.05
152.9636272084329,4,3,2016,A,429763.86
112.14945132882866,2,1,2012,D,178321.96
62.17348136994865,3,4,1969,A,251846.2
127.53585841164329,4,1,2015,D,280700.92
163.664685910379,4,1,1955,B,385729.96
130.9739578165344,6,2,1958,B,329851.8
54.4189010213796,3,4,1999,E,169732.44
85.47297781401247,4,2,2013,C,243686.81
138.00733447559867,1,2,2000,A,335107.68
78.76991603143658,4,5,1986,B,292141.69
113.31458284438685,5,3,2021,D,248378.01
123.2390216028801,1,1,1994,E,212064.74
72.19208585265751,1,2,1980,A,244278.72
98.214239318146,5,5,2021,B,306238.16
30.0,5,3,1985,E,135477.22
69.2683707599713,5,1,2008,B,213803.47
92.4229554582052,3,1,1965,B,237750.33
62.56650454105451,3,3,2002,B,209998.47
148.97233911794905,5,5,1980,E,307649.31
57.09575866118102,4,5,1984,C,224840.33
86.79866539909048,2,1,1986,B,255586.78
103.92221731858274,1,1,2011,A,270726.84
143.23819867198347,3,4,1988,E,292285.94
56.92413546461682,3,2,2005,B,194722.29
134.8949125646488,5,2,2014,E,271077.33
100.3069918305876,5,1,2012,A,300694.1
70.55474046856148,4,1,1978,A,238452.03
113.86310422789812,2,2,1957,D,230973.81
105.9717908672041,1,1,1979,D,201262.99
81.99349368523616,4,1,1990,C,214819.22
102.09406254970057,2,5,2019,D,209379.8
88.44059209414719,2,1,1964,E,186053.88
103.40552035753744,3,1,2004,D,213041.35
119.8639202356314,1,1,1958,E,205631.31
147.58050448436057,3,1,1969,E,265237.75
62.865535035194526,3,3,1985,C,213326.44
163.991001239688,8,1,1998,E,307847.18
41.437366014324944,2,3,1962,D,136159.53
95.4464471489325,2,2,1967,D,150118.19
117.6495161945373,3,1,2006,B,300465.15
108.42975603205097,8,1,1957,C,330889.2
81.31901440538219,3,3,1991,A,289039.01
93.75633248928175,2,1,1957,A,241871.64
85.20997196023501,2,1,2009,B,216800.0
82.31905729167366,2,3,2007,D,198724.38
125.48806291063073,2,2,1973,C,221347.62
110.71046457895142,2,1,1993,D,209294.17
79.21271214218038,4,1,2012,B,237752.03
126.98799626299751,1,1,2000,A,298203.29
109.21898562629828,1,1,1957,C,254296.69
124.3858635651688,2,1,1989,D,219034.91
118.88886525770837,7,1,1982,E,246592.02
75.13014967233784,2,2,1970,E,203706.14
83.19456879409091,2,1,1982,E,204763.55
122.41880815369785,3,3,2004,A,382081.56
118.31110796300395,3,2,2014,E,217662.24
99.37295218107556,2,3,2006,E,202301.82
103.51982149926346,4,1,2019,B,245175.69
138.32994687365274,5,1,1963,B,332603.91
82.2528583349251,4,2,1974,B,263174.8
116.41292143510114,2,1,1988,D,219377.56
93.93422042698317,5,1,1972,E,236204.52
93.46956390318338,2,2,1992,A,272511.57
132.96330555961572,2,2,2005,E,241659.07
124.7624904696409,4,1,1966,E,224726.61
124.40528908001916,4,2,1980,D,278509.85
139.16436421462987,2,3,2001,B,314283.07
100.63011524898278,6,5,1977,E,264801.95
120.45858913884892,3,1,1956,C,269550.03
90.69199730219631,7,3,1967,C,288480.2
109.72499057465326,1,3,1955,B,302467.78
96.09570836896947,1,1,2015,B,259294.72
102.90987894978154,2,1,1969,E,197453.41
117.8547107631074,1,1,1951,C,253080.16
75.45337950299583,4,4,1974,A,307553.31
162.7716182705638,5,2,1955,A,412792.65
69.81947855500894,2,1,1992,C,195009.47
63.57434161636804,1,1,1978,B,199606.03
134.74332620500203,2,2,1958,D,276444.17
123.74988081888807,8,2,1963,D,320149.56
118.72359451156466,3,1,1994,A,328213.72
118.8503652779284,2,2,1964,B,281343.95
99.63259681459256,6,5,1995,E,227085.6
73.08236885542505,5,1,1994,C,249417.58
102.27413674581179,1,3,2013,A,303564.44
79.68514865463665,1,1,1993,D,177557.49
129.25359200253254,4,1,1958,D,254749.6
95.58827855493584,1,3,2017,E,210588.16
75.23508409622465,1,1,1961,E,148054.37
90.3584247504102,1,1,1950,D,175358.0
112.38794362826873,2,1,1993,B,278795.18
83.08826341588076,6,2,1989,D,274477.58
75.33338813300705,2,1,1953,C,152386.54
107.31061634475736,8,2,1991,B,336538.6
107.34899713326169,2,3,1982,E,212449.69
84.7917047388661,1,1,1951,E,156698.02
85.86885083145032,3,1,1959,E,203331.05
106.96149812072909,2,3,2021,C,284406.67
56.55746975508028,2,1,1963,E,156729.0
57.776086768703344,1,2,2010,B,163882.61
78.44667336242692,4,3,1976,E,209878.74
93.59658544864459,3,2,2003,E,213905.58
109.32722696794013,1,5,1978,D,232268.99
144.26068650848657,2,1,1957,D,265326.03
125.72978869606058,2,2,2018,C,303866.84
95.20184410109718,2,1,2015,B,204130.7
99.42951376291934,4,2,2021,B,316743.74
69.92411906086573,8,2,1999,D,214206.37
99.4446059202283,5,4,2020,B,307255.34
91.34024083239585,2,2,1990,E,188285.59
109.68155681014268,4,1,1959,C,251942.73
75.1830716934303,2,4,1974,D,178243.15
115.58039542723517,3,3,1975,E,237467.4
145.98216739007734,3,3,1975,D,258093.98
96.73719554629427,6,4,2019,D,252855.98
112.05135166296824,7,1,1961,C,311448.46
120.70431975133337,3,3,2007,C,285287.28
87.96338584342492,3,2,2020,D,197959.65
106.7227744543125,2,1,1975,E,208064.36
100.37777202345384,2,2,1962,A,310360.13
102.93028295646495,1,3,2018,E,224527.37
76.809706484336,4,1,1980,B,204965.3
100.73530522776828,3,3,1966,D,246652.03
114.9399487373635,1,4,1964,D,240545.0
143.53430823385125,4,1,1971,C,295879.35
128.7781247825562,1,2,2018,B,292291.11
164.5954737253467,5,2,1965,A,432661.14
76.97957311335851,4,1,1982,A,242122.95
126.16961910162034,3,3,1990,C,313973.92
105.50026017215055,5,1,1953,A,352652.35
165.6940879965302,1,1,2012,D,272932.47
75.75105143934546,1,1,2018,A,200252.58
74.80834473457672,1,1,1991,A,216682.1
82.01822063667933,4,1,1990,E,208822.98
36.283128270705795,2,2,1956,A,128625.33
84.22734934957717,6,2,1973,E,215786.52
77.22602015338906,1,2,1993,B,225050.45
104.51181359428622,4,2,2017,E,214822.47
110.25267927331478,4,1,1961,B,300059.25
156.28512517647658,1,1,2004,C,300847.82
128.5127151455815,2,4,1953,D,280009.8
82.69289033012791,3,5,1952,C,268559.13
73.04755985954927,8,3,1975,C,269163.67
114.75757514519518,1,3,2008,C,272752.99
60.393003789380735,1,1,1958,B,137482.15
154.94376297563062,3,1,1995,A,363159.12
135.38320362163861,1,3,1962,E,242781.89
85.92473043685885,4,1,1954,C,203979.42
48.60596412727367,4,1,2002,C,162340.09
140.6161712249624,1,1,2010,A,341557.05
96.56380464242146,1,1,1954,C,211804.43
137.13448935920385,6,2,1950,B,375960.93
52.167170236168985,5,4,1984,B,252401.68
82.01874931138681,2,2,1977,A,261857.32
100.1573109915455,3,1,2000,B,263125.98
101.40941781294227,7,1,2015,C,269181.21
86.49803585562269,1,3,1972,C,241747.29
118.68549797042496,4,2,2018,D,257056.42
67.97138711852216,3,2,1982,D,142275.51
95.7286154493612,2,4,2014,A,312732.66
103.60886895135697,2,2,1973,C,253030.78
115.43316502176248,3,2,1958,C,271217.64
121.34844634266669,6,2,2012,E,268716.1
66.26073724486392,4,1,1984,B,200526.51
53.976574877931334,1,1,2010,A,169619.11
138.33030465695526,3,1,1965,A,344329.24
109.96942035938775,3,3,2021,B,324744.88
77.5454039033034,1,1,2021,E,147267.79
146.53455926567568,2,3,1972,D,263055.54
103.47023902878576,1,1,2011,E,197950.87
135.3789155219148,2,1,1993,D,221889.59
102.02555444230327,4,2,2008,D,225786.05
161.82243774645963,1,1,2012,E,277003.02
152.66022527329613,2,3,1960,A,382538.25
92.5310755456278,1,3,2017,C,209524.67
129.14712852863067,5,1,1957,A,334903.88
119.36127848755443,1,1,1998,C,231445.05
141.05894672597046,1,2,2021,A,345743.49
71.05229618259686,1,2,1957,E,153371.27
120.58154379995318,5,2,2020,E,272155.88
131.75273460548763,2,2,1983,E,233948.87
47.23781540730657,2,4,1981,C,128496.51
64.50224462002674,2,3,2014,A,249053.11
38.823034667196985,1,4,2012,D,166874.32
91.91779496666327,2,4,2002,A,253194.32
121.52626767387886,1,2,2016,A,323700.89
145.07071156288083,8,1,1979,B,426757.81
102.22284341259325,8,1,2008,A,337839.54
148.85846636713876,3,3,1974,D,303027.62
58.59695625355326,3,1,1982,A,220760.77
48.89852681934536,5,3,1965,B,212087.88
98.33356903310144,1,2,1998,B,279249.12
111.52196346817922,2,1,1952,D,202483.51
99.01915755717721,3,3,1978,A,356655.09
37.9767369988037,1,3,1963,E,167791.13
97.32639881461635,1,4,2018,E,206905.82
60.865914984854406,1,1,2010,B,233828.98
120.09017646490116,2,3,1978,D,239451.22
110.99794738290545,1,2,1970,E,181266.07
71.80360641017934,6,2,1955,B,274699.89
84.5839924798992,5,2,1973,B,283291.78
68.22359434333146,3,4,1977,A,254249.01
98.11962708180485,3,2,2006,D,251946.5
128.65426961503715,1,2,2006,E,216183.49
70.42821860993368,2,4,1971,A,281018.6
115.12139546553533,6,5,1973,C,330043.25
84.09227144882678,2,1,1967,D,191168.17
76.21381503212967,5,1,1977,B,240901.15
96.78908920136327,5,1,2006,A,319773.1
68.94273032741879,2,5,1950,E,167606.59
83.39052083958454,5,2,1975,B,249429.25
64.06366322233455,5,3,1982,B,241725.36
158.94175398749167,4,1,2004,E,286415.91
101.05790655915186,4,3,1967,C,254964.15
79.00823476022244,1,3,2018,D,181133.98
106.41939732202665,1,5,1959,D,208401.59
96.6301585092751,1,4,1963,B,269888.66
93.37091201400331,1,3,1988,A,222686.32
118.42500100130276,4,3,1985,C,299660.96
122.72523130141916,1,3,2000,C,261702.47
84.08496557168418,4,3,1999,B,264857.87
82.7254527806596,3,3,1964,A,268818.54
91.74844908545069,1,5,2008,E,178742.9
30.94236505793245,7,1,1982,E,135836.2
54.544268134043435,2,2,2017,B,172798.0
141.00622802333572,7,1,2003,A,396732.7
149.34903140503852,3,2,2000,C,337816.39
92.52891881330865,4,4,1952,C,265458.95
117.29670889167299,3,2,1983,C,249134.19
109.33750463630608,3,2,1991,D,227047.64
192.36642425365713,2,2,1958,C,389121.76
133.5872473430373,3,3,1963,E,241519.12
96.162472255577,3,2,1954,A,332403.22
71.33378678198723,4,3,1982,C,230559.74
51.80661039227282,2,3,1956,B,200523.73
106.10390907601669,1,1,1989,B,251829.23
77.30947764147089,3,1,1984,E,179209.71
57.33238871206977,5,1,2020,C,179330.48
80.60281347272421,5,1,1957,E,191362.68
67.55355989156814,1,2,2009,E,146694.25
150.61424905217694,1,1,1991,E,270804.44
126.44919270848351,5,2,1954,D,305800.61
99.76082076050147,2,1,2009,C,258651.98
144.39832416670077,8,1,1954,B,388459.96
102.32104922942855,1,2,1993,D,199395.39
74.1614739601521,5,1,2014,E,189466.63
145.69372231808973,7,2,1951,B,366864.01
116.16730131053976,4,1,2006,E,263073.61
68.88261537020631,4,1,1999,D,221913.02
94.28983965749175,2,1,2001,A,213285.13
73.7314523984573,5,4,1960,E,193810.1
58.51600807106992,4,3,1979,E,132186.17
127.78532642594925,7,1,1995,B,338143.03
157.28249921410392,3,1,1964,B,358188.14
58.04297278542576,5,3,2009,E,141818.25
116.88907710071713,5,2,1961,C,309407.45
80.4807229263452,2,2,1955,B,195924.05
85.38623848705912,4,4,1954,A,341776.47
82.22818227283392,2,1,1995,A,236222.02
74.08027690960552,4,3,1987,E,210640.6
101.45564883834481,1,1,1984,B,227333.58
75.07149650766887,3,2,2004,A,254489.52
108.11370477339517,5,5,2013,D,304744.3
98.49285671652589,3,2,1955,A,278436.32
92.8315585940077,2,3,1963,B,257688.73
72.77309013875207,2,3,2001,E,182178.63
82.69686008295002,5,1,1999,A,256169.83
122.66173677477268,1,4,1966,E,199991.19
115.02751562873142,1,2,1958,D,220110.58
70.67334265604347,3,1,1989,A,232799.88
102.97996916287677,4,4,1985,E,252784.63
122.54161370115366,1,4,1998,A,356600.3
49.917841566358845,7,1,2001,A,215290.42
116.30080577139805,1,2,2018,B,258297.05
80.12128723162459,2,1,1980,B,206593.79
117.11796005779478,2,1,2006,C,218688.48
77.1022253037245,5,1,1996,B,266750.29
45.853536980064426,3,1,2009,B,196302.55
51.173726863505124,2,2,1971,C,197966.27
101.44254839984146,4,3,1979,C,240088.35
107.79167505164446,2,3,1981,A,289674.32
72.87050124686775,2,1,1987,A,222322.3
119.15777376332122,5,1,1951,A,373084.63
50.1543981319312,2,1,2013,B,150974.67
98.0176060405805,4,3,1999,E,225346.24
63.6695140071263,1,2,2004,E,141621.0
80.44491676593523,8,1,1977,B,275033.82
101.42196013949243,1,1,1952,D,202864.75
74.18759904148143,5,2,2008,A,266800.47
88.46333367310524,2,2,1969,B,233213.47
130.1887842764332,5,1,2011,D,282944.64
82.69324391430554,1,2,2012,A,244998.15
125.07076336195425,4,1,1968,C,298628.16
66.10879436027146,3,1,1955,B,197993.16
115.89412533745849,3,1,1994,D,232609.52
143.247058619737,2,1,2019,E,230128.99
30.0,2,1,2011,B,142009.81
76.09314233588569,2,3,1963,E,183032.57
117.3121638154162,5,5,2014,D,275973.63
93.90863841871023,4,1,2003,B,277043.66
111.13437620113926,2,1,2009,B,246718.71
81.88044439852538,4,2,1980,B,264137.6
102.597693624187,6,2,1994,B,331957.38
95.32968293823761,6,3,2018,C,276592.68
135.0334618497942,2,1,1969,B,290224.91
107.63262529903639,1,4,1997,D,223864.53
110.12807986225607,2,2,1971,D,221890.41
87.64369101632597,2,1,1989,C,202890.44
85.3718132778252,4,4,1999,B,259374.6
87.02325436541138,2,3,1999,B,258001.01
111.8335642713489,3,3,1958,A,320490.67
87.3704655753921,3,1,2001,A,270687.79
108.69324570689238,4,4,1995,E,261052.47
162.26202395936315,2,5,1958,C,346647.98
126.13374110295078,2,2,1982,A,350095.78
90.21929403496476,2,1,2006,D,156821.14
136.03641766491836,1,3,1980,D,254348.38
87.75773880935346,4,3,1988,D,180646.09
38.856263944664384,1,4,2018,C,109508.54
69.75741067247787,4,2,2002,D,140078.2
43.87624236922433,7,2,2007,A,269994.24
89.45459547876074,4,2,2013,A,271579.48
100.55255137568655,2,1,1976,E,176786.52
150.2931193682585,2,3,1958,E,263872.61
109.80782121292488,6,5,1998,C,283536.19
93.42698413573407,1,2,2013,E,197395.53
124.88216743550467,2,4,2012,C,299545.73
33.66594072976345,3,1,1971,B,152086.43
107.06843674325698,2,1,1951,E,198233.89
123.12595581660901,6,2,1988,C,299230.48
55.64241262660475,3,4,2006,A,236822.9
134.31262129620788,3,1,1972,E,238097.97
110.15489222483242,4,4,2011,E,211041.37
87.54136258297596,1,3,1962,C,227304.62
118.98345598318855,3,1,1996,B,294503.87
168.12078573413186,4,2,1969,E,262013.33
105.45598765175485,8,1,1962,C,276062.89
107.44661758901009,3,4,2004,B,277640.66
86.21917301379267,1,1,1976,C,167065.62
74.50466891605625,4,2,1980,B,248161.36
124.91007449632737,1,2,1971,D,247260.24
74.31748522273398,3,3,1981,E,177482.35
102.14698711658177,1,5,2013,D,228653.44
85.6702765970465,6,3,1971,C,297989.86
114.36939477239176,3,1,2011,D,223362.47
110.00986315860845,3,3,1996,B,331509.89
131.12619832773697,5,1,1950,A,355010.23
84.69950803435759,6,1,2017,D,208391.24
91.90375194119886,1,3,1992,C,222394.57
70.63708852653077,3,1,1987,E,187713.14
86.67120219771665,2,3,1990,D,210640.44
111.31901479134557,3,1,1963,D,221924.43
122.70965849936056,3,1,1952,A,322432.94
72.33504027467123,3,3,2014,C,204563.57
126.08817760316981,1,1,1993,D,255045.01
140.66913576414854,1,5,1965,E,254302.17
112.40304709671102,1,1,1957,B,272430.62
156.303874376742,4,4,2014,E,325434.77
76.78632402689281,1,1,2011,D,169321.62
62.66035890065749,2,1,1951,D,178895.44
46.63839253287164,1,1,2005,A,189917.31
144.8813293446755,3,1,1966,C,280562.3
119.63096969062173,1,5,2010,A,352905.55
98.33245987268634,2,3,1956,E,241384.76
108.3990587895946,2,3,1983,C,277306.58
66.2353285810487,4,3,2009,A,293517.52
173.37255938850478,3,1,1971,D,311416.76
103.87663545925682,1,1,1971,C,222571.98
103.28184383814678,4,4,1970,B,271348.99
121.77299871696076,2,2,1962,B,291455.09
114.4302769521014,3,1,2019,E,219601.35
106.71652072837394,4,2,1993,A,350417.81
76.28576633664065,2,1,1980,E,169555.25
114.14405071407987,3,2,1974,B,311544.16
156.460734894251,4,2,2004,D,279529.83
140.36260138464934,2,1,1978,D,269159.5
147.7955987991819,2,2,1984,D,286040.15
84.66352970706444,3,1,1964,D,198278.66
70.31185539224258,8,2,2017,D,243771.31
96.22639239701056,5,5,1998,B,303297.05
101.67174736866083,2,1,1997,C,241284.92
132.82574555412845,3,1,1993,D,256389.34
49.22606110855542,2,3,1987,C,195446.25
145.8865095838184,1,4,1961,D,269460.03
95.25976304263031,3,2,2009,E,215152.86
87.1935679015774,2,1,1987,A,268280.06
